App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Negative,Neutral,Positive,AVG_Pol,AVG_Sub,Last Updated Mois,Last Updated Jour,Last Updated Annee
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490.0,3891.2,500000,Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",10.0,22.0,168.0,0.47,0.5,February,17,2017
1800 Contacts - Lens Store,MEDICAL,4.7,23160.0,26624.0,1000000,Free,0.0,Everyone,Medical,"July 27, 2018",6.0,10.0,64.0,0.32,0.59,July,27,2018
2017 EMRA Antibiotic Guide,MEDICAL,4.4,12.0,3891.2,1000,Paid,16.99,Everyone,Medical,"January 27, 2017",0.0,0.0,0.0,0.0,0.0,January,27,2017
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506.0,15360.0,100000,Free,0.0,Everyone,Health & Fitness,"August 2, 2018",10.0,2.0,68.0,0.26,0.55,August,2,2018
420 BZ Budeze Delivery,MEDICAL,5.0,2.0,11264.0,100,Free,0.0,Mature 17+,Medical,"June 6, 2018",0.0,0.0,0.0,0.0,0.0,June,6,2018
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721.0,68608.0,10000000,Free,0.0,Everyone,Health & Fitness,"July 11, 2018",19.0,15.0,146.0,0.26,0.53,July,11,2018
A Manual of Acupuncture,MEDICAL,3.5,214.0,69632.0,1000,Paid,33.99,Everyone,Medical,"October 2, 2017",0.0,0.0,0.0,0.0,0.0,October,2,2017
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706.0,19456.0,1000000,Free,0.0,Teen,Entertainment,"July 16, 2018",3.0,5.0,30.0,0.35,0.5,July,16,2018
AAFP,MEDICAL,3.8,63.0,24576.0,10000,Free,0.0,Everyone,Medical,"June 22, 2018",0.0,0.0,0.0,0.0,0.0,June,22,2018
ABC News - US & World News,NEWS_AND_MAGAZINES,4.0,18976.0,35840.0,1000000,Free,0.0,Everyone 10+,News & Magazines,"June 6, 2018",39.0,23.0,18.0,-0.04,0.41,June,6,2018
ASCCP Mobile,MEDICAL,4.5,63.0,25600.0,10000,Paid,9.99,Everyone,Medical,"October 3, 2016",0.0,0.0,0.0,0.0,0.0,October,3,2016
